代码,名称
920527,夜光明
688432,有研硅
301516,中远通
301251,威尔高
688261,东微半导
688584,上海合晶
688605,先锋精科
301237,和顺科技
300985,致远新能
300043,星辉娱乐
688802,沐曦股份-U
300745,欣锐科技
920627,力王股份
920122,中纺标
300717,华信新材
300276,三丰智能
688596,正帆科技
973,佛塑科技
601121,宝地矿业
600094,大名城
603178,圣龙股份
1206,依依股份
1311,多利科技
2841,视源股份
2137,实益达
605399,晨光新材
2951,金时科技
603823,百合花
1229,魅视科技
3004,声迅股份
600206,有研新材
603356,华菱精工
1365,天海电子
2497,雅化集团
603065,宿迁联盛
600793,宜宾纸业
605118,力鼎光电
600246,万通发展
603861,白云电器
2129,TCL中环
2185,华天科技
603137,恒尚节能
600360,华微电子
1230,劲旅环境
600288,大恒科技
2585,双星新材
600120,浙江东方
78,ST海王
300103,达刚控股
2266,浙富控股
920058,华洋赛车
301053,远信工业
603893,瑞芯微
301068,大地海洋
711,ST京蓝
2617,露笑科技
2607,中公教育
300228,富瑞特装
2132,恒星科技
920438,戈碧迦
301595,太力科技
688392,骄成超声
300522,世名科技
301151,冠龙节能
603608,天创时尚
2031,巨轮智能
300540,蜀道装备
2077,大港股份
603313,梦百合
300533,冰川网络
301038,深水规院
688176,亚虹医药-U
688595,芯海科技
688702,盛科通信-U
300145,南方泵业
688362,甬矽电子
301045,天禄科技
688813,泰金新能
2605,姚记科技
300019,硅宝科技
688282,理工导航
2457,青龙管业
688548,广钢气体
301539,宏鑫科技
2747,埃斯顿
593,德龙汇能
688419,耐科装备
688082,盛美上海
970,中科三环
688652,京仪装备
2768,国恩股份
600584,长电科技
603333,福华尚纬
2329,皇氏集团
300376,易事特
603616,韩建河山
2281,光迅科技
301108,洁雅股份
300471,厚普股份
2558,巨人网络
600000,浦发银行
600004,白云机场
600006,东风股份
600007,中国国贸
600008,首创环保
600009,上海机场
600010,包钢股份
600011,华能国际
600012,皖通高速
600015,华夏银行
600016,民生银行
600017,日照港
600018,上港集团
600019,宝钢股份
600020,中原高速
600021,上海电力
600022,山东钢铁
600023,浙能电力
600025,华能水电
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600032,浙江新能
600033,福建高速
600035,楚天高速
600036,招商银行
600037,歌华有线
600038,中直股份
600039,四川路桥
600048,保利发展
600050,中国联通
600051,宁波联合
600052,东望时代
600053,*ST九鼎
600054,黄山旅游
600055,万东医疗
600056,中国医药
600057,厦门象屿
600058,五矿发展
600059,古越龙山
600060,海信视像
600061,国投资本
600062,华润双鹤
600063,皖维高新
600064,南京高科
600066,宇通客车
600067,冠城新材
600071,凤凰光学
600072,中船科技
600073,光明肉业
600075,新疆天业
600076,康欣新材
600078,澄星股份
600079,ST人福
600080,ST金花
600081,东风科技
600082,ST海泰
600084,*ST尼雅
600085,同仁堂
600088,中视传媒
600089,特变电工
600094,大名城
600095,湘财股份
600096,云天化
600097,开创国际
600098,广州发展
600099,林海股份
600100,同方股份
600101,明星电力
600103,青山纸业
600104,上汽集团
600105,永鼎股份
600106,重庆路桥
600107,*ST尔雅
600108,亚盛集团
600109,国金证券
600110,诺德股份
600111,北方稀土
600113,浙江东日
600114,东睦股份
600115,中国东航
600116,三峡水利
600117,西宁特钢
600118,中国卫星
600119,*ST长投
600120,浙江东方
600121,郑州煤电
600123,兰花科创
600125,铁龙物流
600126,杭钢股份
600127,金健米业
600128,苏豪弘业
600129,太极集团
600130,波导股份
600131,国网信通
600132,重庆啤酒
600133,东湖高新
600135,乐凯胶片
600136,ST明诚
600137,浪莎股份
600138,中青旅
600141,兴发集团
600143,金发科技
600148,长春一东
600149,廊坊发展
600150,中国船舶
600151,航天机电
600152,维科技术
600153,建发股份
600155,华创云信
600156,华升股份
600157,永泰能源
600158,中体产业
600159,大龙地产
600160,巨化股份
600161,天坛生物
600162,香江控股
600163,中闽能源
600165,ST宁科
600166,福田汽车
600167,联美控股
600168,武汉控股
600169,ST太重
600170,上海建工
600171,上海贝岭
600172,黄河旋风
600173,卧龙新能
600176,中国巨石
600177,雅戈尔
600178,东安动力
600179,安通控股
600180,*ST瑞茂
600182,S佳通
600183,生益科技
600184,光电股份
600185,珠免集团
600186,莲花控股
600187,*ST国中
600188,兖矿能源
600189,泉阳泉
600191,华资实业
600192,长城电工
600195,XD中牧股
600196,复星医药
600197,伊力特
600198,大唐电信
600199,金种子酒
600201,生物股份
600202,哈空调
600203,福日电子
600206,有研新材
600207,安彩高科
600208,衢州发展
600210,紫江企业
600211,西藏药业
600212,绿能慧充
600215,派斯林
600216,浙江医药
600217,中再资环
600218,全柴动力
600219,南山铝业
600221,海航控股
600222,太龙药业
600223,福瑞达
600226,亨通股份
600227,赤天化
600228,返利科技
600229,城市传媒
600230,沧州大化
600231,凌钢股份
600232,金鹰股份
600233,圆通速递
600234,科新发展
600235,民丰特纸
600236,桂冠电力
600237,铜峰电子
600238,*ST椰岛
600239,ST云城
600241,时代万恒
600243,*ST海华
600246,万通发展
600248,陕建股份
600249,两面针
600250,南京商旅
600251,冠农股份
600252,中恒集团
600255,鑫科材料
600256,广汇能源
600257,大湖股份
600258,首旅酒店
600259,中稀有色
600261,阳光照明
600262,北方股份
600265,*ST景谷
600266,城建发展
600267,海正药业
600268,国电南自
600269,赣粤高速
600271,航天信息
600272,XD开开实
600273,嘉化能源
600276,恒瑞医药
600278,东方创业
600279,重庆港
600280,中央商场
600281,华阳新材
600282,南钢股份
600283,钱江水利
600284,浦东建设
600285,羚锐制药
600287,苏豪时尚
600288,大恒科技
600289,ST信通
600292,电投水电
600293,三峡新材
600295,鄂尔多斯
600298,安琪酵母
600299,安迪苏
600300,维维股份
600301,华锡有色
600302,ST标准
600303,曙光股份
600305,恒顺醋业
600307,酒钢宏兴
600308,华泰股份
600309,万华化学
600310,广西能源
600312,平高电气
600313,农发种业
600315,上海家化
600316,洪都航空
600318,新力金融
600319,亚星化学
600320,振华重工
600322,津投城开
600323,瀚蓝环境
600325,华发股份
600326,西藏天路
600327,大东方
600328,中盐化工
600329,达仁堂
600330,天通股份
600331,宏达股份
600332,白云山
600333,长春燃气
600335,国机汽车
600336,澳柯玛
600337,ST美克
600338,西藏珠峰
600339,中油工程
600340,*ST华幸
600343,航天动力
600345,长江通信
600346,恒力石化
600348,华阳股份
600350,山东高速
600351,亚宝药业
600352,浙江龙盛
600353,旭光电子
600354,敦煌种业
600356,恒丰纸业
600358,国旅联合
600359,新农开发
600360,华微电子
600361,创新新材
600362,江西铜业
600363,联创光电
600365,ST通葡
600366,宁波韵升
600367,红星发展
600368,五洲交通
600369,西南证券
600370,*ST三房
600371,万向德农
600372,中航机载
600373,中文传媒
600375,汉马科技
600376,首开股份
600377,宁沪高速
600378,昊华科技
600379,宝光股份
600380,健康元
600381,*ST春天
600382,广东明珠
600383,金地集团
600386,北巴传媒
600388,龙净环保
600389,江山股份
600390,五矿资本
600391,航发科技
600392,盛和资源
600395,盘江股份
600396,华电辽能
600397,江钨装备
600398,海澜之家
600399,抚顺特钢
600400,红豆股份
600403,大有能源
600405,动力源
600406,国电南瑞
600408,安泰集团
600409,三友化工
600410,华胜天成
600415,小商品城
600416,湘电股份
600418,江淮汽车
600419,天润乳业
600420,国药现代
600422,昆药集团
600423,*ST柳化
600425,青松建化
600426,华鲁恒升
600428,中远海特
600429,三元股份
600433,冠豪高新
600435,北方导航
600436,片仔癀
600438,通威股份
600439,瑞贝卡
600444,国机通用
600446,金证股份
600448,华纺股份
600449,宁夏建材
600452,涪陵电力
600455,博通股份
600456,宝钛股份
600458,时代新材
600459,贵研铂业
600460,士兰微
600461,洪城环境
600463,空港股份
600467,好当家
600468,百利电气
600469,风神股份
600470,六国化工
600475,华光环能
600476,*ST湘邮
600477,杭萧钢构
600478,科力远
600479,千金药业
600480,凌云股份
600481,双良节能
600482,中国动力
600483,福能股份
600486,扬农化工
600487,亨通光电
600488,津药药业
600489,中金黄金
600490,鹏欣资源
600491,ST龙元
600493,凤竹纺织
600495,晋西车轴
600496,精工钢构
600497,驰宏锌锗
600498,烽火通信
600499,科达制造
600500,中化国际
600501,航天晨光
600502,安徽建工
600503,华丽家族
600505,西昌电力
600506,统一股份
600507,方大特钢
600508,上海能源
600509,天富能源
600510,黑牡丹
600511,国药股份
600512,腾达建设
600513,联环药业
600515,海南机场
600516,方大炭素
600517,国网英大
600518,康美药业
600519,贵州茅台
600520,三佳科技
600521,华海药业
600522,中天科技
600523,贵航股份
600525,ST长园
600526,菲达环保
600527,江南高纤
600528,中铁工业
600529,山东药玻
600530,交大昂立
600531,豫光金铅
600533,栖霞建设
600535,天士力
600536,中国软件
600537,*ST亿晶
600538,国发股份
600539,狮头股份
600540,新赛股份
600543,*ST莫高
600545,卓郎智能
600546,山煤国际
600547,山东黄金
600548,深高速
600549,厦门钨业
600550,保变电气
600551,时代出版
600552,凯盛科技
600556,天下秀
600557,康缘药业
600558,大西洋
600559,老白干酒
600560,金自天正
600561,江西长运
600562,国睿科技
600563,法拉电子
